smart_5_reallocated_sector_count,smart_9_power_on_hours,smart_12_power_cycle_count,smart_160_reported_uncorrectable,smart_169_erase_fail_count,smart_170_program_fail_count,smart_173_wear_leveling_count,smart_175_program_fail_count_chip,smart_177_wear_leveling_count,smart_178_used_rsvd_blk_cnt_tot,smart_179_used_rsvd_blk_cnt_tot,smart_181_program_fail_count_total,smart_182_erase_fail_count_total,smart_187_reported_uncorrectable_errors,smart_190_airflow_temperature_celsius,smart_194_temperature_celsius,smart_196_reallocation_event_count,smart_198_offline_uncorrectable,smart_199_udma_crc_error_count,smart_233_media_wearout_indicator,smart_241_total_lbas_written_tb,smart_242_total_lbas_read_tb,temp_controller,temp_nand,read_iops,write_iops,throughput_read_MBps,throughput_write_MBps,latency_read_us,latency_write_us,ecc_error_rate,spare_block_ratio,ssd_fill_ratio,write_amplification,gc_activity_pct,trim_rate_pct,io_queue_depth,host_reset_count,thermal_throttle_events,supply_voltage,voltage_droop_events,vibration_g,firmware_recovery_events,link_speed_gbps,pcie_correctable_errors,failure_type,failure_code
4,9660.369459,590,0,0,1,112.4518582,1,104.263214,18.20253048,22.18074875,3,0,0,34.94452789,39.19039444,0,0,0,0.677351561,0,103.334085,55.91100018,39.60506401,22129.51655,19641.96855,529.9443995,325.2197917,55.77599396,115.2794635,0.001562868,0.762172412,0.499154055,2.001391244,0.248411421,0.125399828,18.16473205,0,0,4.868378284,0,0.428983928,0,6.368375901,0,firmware_anomaly,5
3,18474.25358,620,1,0,0,103.7775504,2,78.26897664,10.66617673,20.44989809,1,0,0,26.42789564,36.2948335,0,0,0,0.887402139,262.6109673,186.7823084,37.06672272,36.22419757,18651.36629,21493.06707,594.390994,361.2919955,72.56201824,119.0479583,0.000701547,0.83181848,0.879469856,1.174024571,0.302858889,0.496476367,4.859050626,0,0,5.091146229,1,0.431493769,0,6.196924637,0,firmware_anomaly,5
3,13734.37561,576,1,1,1,114.4723597,1,101.0057718,0,17.73490504,2,1,1,35.99824396,25.4862592,0,0,0,0.912047285,249.1422519,0,36.26524982,26.17558227,30992.55443,24996.35723,466.8268383,378.3894564,111.8975728,88.47811221,0,0.829575965,0.842961072,1.065553224,0.159357239,0.395418336,31.1287918,0,0,4.93419217,0,0,0,6.152678613,0,interface_crc,4
2,12169.43989,558,0,1,1,91.13609223,0,75.38759555,8.869873925,22.07116619,0,0,0,38.52529333,30.67475885,0,0,0,0.82729083,0,15.44356539,47.98561548,33.07887866,21361.03884,23583.61952,450.6980096,615.472957,79.925852,102.0290406,0.001284073,0.77638476,0.780554909,2.926191755,0.044510037,1,16.70123969,0,0,5.055060274,0,0.717402745,0,5.952123373,0,bad_block_spike,8
1,450.2613507,600,0,1,0,104.8004972,0,96.18139005,13.64329012,21.05532945,0,0,0,25.86955901,30.94164204,0,0,1,0.695848092,33.36436678,234.1326341,39.52996432,37.13354724,29075.86563,16411.65298,514.1336948,431.7291749,76.90929772,136.9191186,0.001005225,0.805523981,0.642048212,2.545944617,0.324614538,0.466119748,15.33948568,0,0,4.937680842,1,0.583187407,0,5.568841505,1,firmware_anomaly,5
5,15730.99582,608,1,0,3,81.46845544,1,88.28569341,9.97586548,21.14677745,0,0,1,38.44865153,38.95487985,1,0,1,0.883781876,286.2493812,157.3253047,41.04176634,42.86511193,22183.53388,15390.37043,535.7469218,557.0678166,95.70806442,93.1028992,0.001796294,0.927202056,0.841581073,1,0.216589116,0.503931822,17.59607952,0,0,4.966852418,0,0,0,4.916722269,0,thermal_throttling,7
2,9176.007208,560,1,0,0,91.90487517,0,90.62691226,23.82360849,15.15516726,1,1,1,25.66465212,25.55774073,1,0,1,0.706105309,0,385.5214088,47.0328445,26.30358068,31417.40213,18825.89408,469.880093,418.5370397,33.87179808,106.0699383,0.001194157,0.874739658,0.518467041,1.135167281,0.155246535,0.578956756,14.77617218,0,0,4.960964386,1,0.330860599,0,4.961981012,0,normal,0
0,13670.47247,588,2,0,0,100.3290037,0,90.6130172,6.485683907,25.22660497,0,1,1,25.45578383,35.76296287,0,1,0,0.959695347,0,0,52.12977284,31.51456659,27393.96504,22893.57474,407.7683581,288.6262456,77.52153244,151.6443383,0.000729904,0.795607755,1,2.631897424,0.28815961,0.715485436,16.1377314,0,0,4.959095327,0,0.409988081,0,5.419903167,0,nand_wearout,2
1,934.2363853,618,0,0,0,95.09446582,0,108.0049831,10.58287513,9.765884444,1,1,1,28.66759025,33.12312031,0,0,1,0.84959923,126.5457936,139.6856213,36.73752494,33.67123074,20647.29579,23093.44896,593.6992394,480.3632751,74.49528338,111.4014129,0.001627271,0.864154296,0.627121778,1.870631893,0.048038612,0.594841933,23.31680276,0,0,4.881364465,0,0.74597426,0,5.928425202,2,firmware_anomaly,5
3,13663.30874,597,0,0,0,98.88387063,0,89.91212783,4.479840338,9.644382071,1,2,1,25.54286111,40.28798448,2,0,0,0.754835867,85.74847022,160.5686722,57.32366176,44.1726966,12774.5091,23344.00571,677.6864715,478.9996756,99.26279501,141.6956887,0.001701175,0.861267888,0.670215319,1.915567995,0.203510193,0.593627821,22.61615241,0,0,5.051117069,1,0.677181347,0,4.891175412,0,firmware_anomaly,5
